skyscraper,skyscraperLabel,height,floors,countryLabel,cityLabel,year,architectLabel
http://www.wikidata.org/entity/Q124304,Kista Science Tower,,32,Швеция,Стокгольм,2002-01-01T00:00:00Z,White arkitekter
http://www.wikidata.org/entity/Q153625,Simpson Tower,144,33,Канада,Торонто,1968-01-01T00:00:00Z,John B. Parkin
http://www.wikidata.org/entity/Q11274,Крайслер-билдинг,318.9,77,США,Манхэттен,1930-05-27T00:00:00Z,William Van Alen
http://www.wikidata.org/entity/Q29272,Гостиница Рюгён,335,105,КНДР,Пхеньян,,Институт архитектуры «Пэктусан»
http://www.wikidata.org/entity/Q53088,Torre AXA México,132,32,Мексика,Мехико,1982-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q507939,World One,280.2,76,Индия,Мумбаи,,Pei Cobb Freed & Partners
http://www.wikidata.org/entity/Q521935,сталинские высотки,240,,СССР,Москва,,Дмитрий Чечулин
http://www.wikidata.org/entity/Q521935,сталинские высотки,240,,СССР,Москва,,"Поляков, Леонид Михайлович"
http://www.wikidata.org/entity/Q521935,сталинские высотки,136,,СССР,Москва,,Дмитрий Чечулин
http://www.wikidata.org/entity/Q521935,сталинские высотки,138,,СССР,Москва,,Дмитрий Чечулин
http://www.wikidata.org/entity/Q521935,сталинские высотки,156,,СССР,Москва,,Дмитрий Чечулин
http://www.wikidata.org/entity/Q521935,сталинские высотки,136,,СССР,Москва,,"Поляков, Леонид Михайлович"
http://www.wikidata.org/entity/Q521935,сталинские высотки,138,,СССР,Москва,,"Поляков, Леонид Михайлович"
http://www.wikidata.org/entity/Q521935,сталинские высотки,172,,СССР,Москва,,Дмитрий Чечулин
http://www.wikidata.org/entity/Q521935,сталинские высотки,176,,СССР,Москва,,Дмитрий Чечулин
http://www.wikidata.org/entity/Q521935,сталинские высотки,156,,СССР,Москва,,"Поляков, Леонид Михайлович"
http://www.wikidata.org/entity/Q521935,сталинские высотки,172,,СССР,Москва,,"Поляков, Леонид Михайлович"
http://www.wikidata.org/entity/Q521935,сталинские высотки,176,,СССР,Москва,,"Поляков, Леонид Михайлович"
http://www.wikidata.org/entity/Q521935,сталинские высотки,206,,СССР,Москва,,Дмитрий Чечулин
http://www.wikidata.org/entity/Q521935,сталинские высотки,206,,СССР,Москва,,"Поляков, Леонид Михайлович"
http://www.wikidata.org/entity/Q512913,Trust Bank Building,140,31,ЮАР,Йоханнесбург,1970-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q511612,Бахрейнский всемирный торговый центр,240,50,Бахрейн,Манама,2008-01-01T00:00:00Z,Atkins
http://www.wikidata.org/entity/Q471340,Messe Torhaus,117,30,Германия,Инненштадт II,1984-01-01T00:00:00Z,Освальд Матиас Унгерс
http://www.wikidata.org/entity/Q494895,Lotte World Tower,555.7,123,Республика Корея,Сонпхагу,2016-01-01T00:00:00Z,Kohn Pedersen Fox
http://www.wikidata.org/entity/Q521935,сталинские высотки,240,,СССР,Москва,,Владимир Георгиевич Гельфрейх
http://www.wikidata.org/entity/Q510272,Олимпик-тауэр,221,51,США,Манхэттен,1974-09-06T00:00:00Z,"Skidmore, Owings and Merrill"
http://www.wikidata.org/entity/Q519568,Torre Moeve,248.3,45,Испания,Мадрид,2008-01-01T00:00:00Z,Норман Фостер
http://www.wikidata.org/entity/Q521935,сталинские высотки,240,,СССР,Москва,,Павел Васильевич Абросимов
http://www.wikidata.org/entity/Q521935,сталинские высотки,136,,СССР,Москва,,Владимир Георгиевич Гельфрейх
http://www.wikidata.org/entity/Q521935,сталинские высотки,138,,СССР,Москва,,Владимир Георгиевич Гельфрейх
http://www.wikidata.org/entity/Q521935,сталинские высотки,156,,СССР,Москва,,Владимир Георгиевич Гельфрейх
http://www.wikidata.org/entity/Q521935,сталинские высотки,172,,СССР,Москва,,Владимир Георгиевич Гельфрейх
http://www.wikidata.org/entity/Q521935,сталинские высотки,176,,СССР,Москва,,Владимир Георгиевич Гельфрейх
http://www.wikidata.org/entity/Q521935,сталинские высотки,206,,СССР,Москва,,Владимир Георгиевич Гельфрейх
http://www.wikidata.org/entity/Q521935,сталинские высотки,136,,СССР,Москва,,Павел Васильевич Абросимов
http://www.wikidata.org/entity/Q521935,сталинские высотки,138,,СССР,Москва,,Павел Васильевич Абросимов
http://www.wikidata.org/entity/Q521935,сталинские высотки,156,,СССР,Москва,,Павел Васильевич Абросимов
http://www.wikidata.org/entity/Q521935,сталинские высотки,136,,СССР,Москва,,"Мезенцев, Борис Сергеевич"
http://www.wikidata.org/entity/Q521935,сталинские высотки,138,,СССР,Москва,,"Мезенцев, Борис Сергеевич"
http://www.wikidata.org/entity/Q521935,сталинские высотки,172,,СССР,Москва,,Павел Васильевич Абросимов
http://www.wikidata.org/entity/Q521935,сталинские высотки,176,,СССР,Москва,,Павел Васильевич Абросимов
http://www.wikidata.org/entity/Q521935,сталинские высотки,156,,СССР,Москва,,"Мезенцев, Борис Сергеевич"
http://www.wikidata.org/entity/Q521935,сталинские высотки,172,,СССР,Москва,,"Мезенцев, Борис Сергеевич"
http://www.wikidata.org/entity/Q521935,сталинские высотки,176,,СССР,Москва,,"Мезенцев, Борис Сергеевич"
http://www.wikidata.org/entity/Q521935,сталинские высотки,206,,СССР,Москва,,Павел Васильевич Абросимов
http://www.wikidata.org/entity/Q521935,сталинские высотки,206,,СССР,Москва,,"Мезенцев, Борис Сергеевич"
http://www.wikidata.org/entity/Q521935,сталинские высотки,240,,СССР,Москва,,"Руднев, Лев Владимирович"
http://www.wikidata.org/entity/Q521935,сталинские высотки,136,,СССР,Москва,,"Руднев, Лев Владимирович"
http://www.wikidata.org/entity/Q521935,сталинские высотки,138,,СССР,Москва,,"Руднев, Лев Владимирович"
http://www.wikidata.org/entity/Q521935,сталинские высотки,156,,СССР,Москва,,"Руднев, Лев Владимирович"
http://www.wikidata.org/entity/Q521935,сталинские высотки,172,,СССР,Москва,,"Руднев, Лев Владимирович"
http://www.wikidata.org/entity/Q521935,сталинские высотки,176,,СССР,Москва,,"Руднев, Лев Владимирович"
http://www.wikidata.org/entity/Q521935,сталинские высотки,206,,СССР,Москва,,"Руднев, Лев Владимирович"
http://www.wikidata.org/entity/Q503477,One Canada Square,240,50,Великобритания,Собачий остров,1991-01-01T00:00:00Z,Сезар Пелли
http://www.wikidata.org/entity/Q496218,Busan Lotte World Tower,380,30,Республика Корея,Пусан,2023-01-01T00:00:00Z,"Skidmore, Owings and Merrill"
http://www.wikidata.org/entity/Q521935,сталинские высотки,240,,Россия,Москва,,Дмитрий Чечулин
http://www.wikidata.org/entity/Q521935,сталинские высотки,240,,Россия,Москва,,"Поляков, Леонид Михайлович"
http://www.wikidata.org/entity/Q521935,сталинские высотки,136,,Россия,Москва,,Дмитрий Чечулин
http://www.wikidata.org/entity/Q521935,сталинские высотки,138,,Россия,Москва,,Дмитрий Чечулин
http://www.wikidata.org/entity/Q521935,сталинские высотки,156,,Россия,Москва,,Дмитрий Чечулин
http://www.wikidata.org/entity/Q521935,сталинские высотки,136,,Россия,Москва,,"Поляков, Леонид Михайлович"
http://www.wikidata.org/entity/Q521935,сталинские высотки,138,,Россия,Москва,,"Поляков, Леонид Михайлович"
http://www.wikidata.org/entity/Q521935,сталинские высотки,172,,Россия,Москва,,Дмитрий Чечулин
http://www.wikidata.org/entity/Q521935,сталинские высотки,176,,Россия,Москва,,Дмитрий Чечулин
http://www.wikidata.org/entity/Q521935,сталинские высотки,156,,Россия,Москва,,"Поляков, Леонид Михайлович"
http://www.wikidata.org/entity/Q521935,сталинские высотки,172,,Россия,Москва,,"Поляков, Леонид Михайлович"
http://www.wikidata.org/entity/Q521935,сталинские высотки,176,,Россия,Москва,,"Поляков, Леонид Михайлович"
http://www.wikidata.org/entity/Q521935,сталинские высотки,206,,Россия,Москва,,Дмитрий Чечулин
http://www.wikidata.org/entity/Q521935,сталинские высотки,206,,Россия,Москва,,"Поляков, Леонид Михайлович"
http://www.wikidata.org/entity/Q512867,Andromeda Tower,,29,Австрия,Kaisermühlen,1998-01-01T00:00:00Z,Вильгельм Хольцбауэр
http://www.wikidata.org/entity/Q484441,Samsung Tower Palace,,73,Республика Корея,Каннамгу,2004-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q471336,Garden Tower,127,25,Германия,Инненштадт I,1976-01-01T00:00:00Z,Novotny Mähner Assoziierte
http://www.wikidata.org/entity/Q521935,сталинские высотки,240,,Россия,Москва,,Владимир Георгиевич Гельфрейх
http://www.wikidata.org/entity/Q521935,сталинские высотки,240,,Россия,Москва,,Павел Васильевич Абросимов
http://www.wikidata.org/entity/Q521935,сталинские высотки,240,,Россия,Москва,,"Мезенцев, Борис Сергеевич"
http://www.wikidata.org/entity/Q521935,сталинские высотки,136,,Россия,Москва,,Владимир Георгиевич Гельфрейх
http://www.wikidata.org/entity/Q521935,сталинские высотки,138,,Россия,Москва,,Владимир Георгиевич Гельфрейх
http://www.wikidata.org/entity/Q521935,сталинские высотки,156,,Россия,Москва,,Владимир Георгиевич Гельфрейх
http://www.wikidata.org/entity/Q521935,сталинские высотки,172,,Россия,Москва,,Владимир Георгиевич Гельфрейх
http://www.wikidata.org/entity/Q521935,сталинские высотки,176,,Россия,Москва,,Владимир Георгиевич Гельфрейх
http://www.wikidata.org/entity/Q521935,сталинские высотки,206,,Россия,Москва,,Владимир Георгиевич Гельфрейх
http://www.wikidata.org/entity/Q521935,сталинские высотки,136,,Россия,Москва,,Павел Васильевич Абросимов
http://www.wikidata.org/entity/Q521935,сталинские высотки,138,,Россия,Москва,,Павел Васильевич Абросимов
http://www.wikidata.org/entity/Q521935,сталинские высотки,156,,Россия,Москва,,Павел Васильевич Абросимов
http://www.wikidata.org/entity/Q521935,сталинские высотки,136,,Россия,Москва,,"Мезенцев, Борис Сергеевич"
http://www.wikidata.org/entity/Q521935,сталинские высотки,138,,Россия,Москва,,"Мезенцев, Борис Сергеевич"
http://www.wikidata.org/entity/Q494895,Lotte World Tower,554.5,123,Республика Корея,Сонпхагу,2016-01-01T00:00:00Z,Kohn Pedersen Fox
http://www.wikidata.org/entity/Q521935,сталинские высотки,172,,Россия,Москва,,Павел Васильевич Абросимов
