skyscraper,skyscraperLabel,height,floors,countryLabel,cityLabel,constructionYear,architectLabel
http://www.wikidata.org/entity/Q521935,сталинские высотки,156,,Россия,Москва,,"Мордвинов, Аркадий Григорьевич"
http://www.wikidata.org/entity/Q521935,сталинские высотки,172,,Россия,Москва,,"Мордвинов, Аркадий Григорьевич"
http://www.wikidata.org/entity/Q521935,сталинские высотки,176,,Россия,Москва,,"Мордвинов, Аркадий Григорьевич"
http://www.wikidata.org/entity/Q521935,сталинские высотки,206,,Россия,Москва,,"Мордвинов, Аркадий Григорьевич"
http://www.wikidata.org/entity/Q531394,Hotell Triangeln,,20,Швеция,Мальмё,,
http://www.wikidata.org/entity/Q550342,Akasaka Tower Residence,,45,Япония,,,
http://www.wikidata.org/entity/Q521935,сталинские высотки,240,,Россия,Москва,,Ашот Мндоянц
http://www.wikidata.org/entity/Q521935,сталинские высотки,240,,Россия,Москва,,"Посохин, Михаил Михайлович"
http://www.wikidata.org/entity/Q521935,сталинские высотки,240,,Россия,Москва,,"Хряков, Александр Фёдорович"
http://www.wikidata.org/entity/Q521935,сталинские высотки,136,,Россия,Москва,,Ашот Мндоянц
http://www.wikidata.org/entity/Q521935,сталинские высотки,138,,Россия,Москва,,Ашот Мндоянц
http://www.wikidata.org/entity/Q521935,сталинские высотки,136,,Россия,Москва,,"Посохин, Михаил Михайлович"
http://www.wikidata.org/entity/Q521935,сталинские высотки,138,,Россия,Москва,,"Посохин, Михаил Михайлович"
http://www.wikidata.org/entity/Q521935,сталинские высотки,136,,Россия,Москва,,"Хряков, Александр Фёдорович"
http://www.wikidata.org/entity/Q521935,сталинские высотки,138,,Россия,Москва,,"Хряков, Александр Фёдорович"
http://www.wikidata.org/entity/Q521935,сталинские высотки,156,,Россия,Москва,,Ашот Мндоянц
http://www.wikidata.org/entity/Q521935,сталинские высотки,156,,Россия,Москва,,"Посохин, Михаил Михайлович"
http://www.wikidata.org/entity/Q521935,сталинские высотки,156,,Россия,Москва,,"Хряков, Александр Фёдорович"
http://www.wikidata.org/entity/Q521935,сталинские высотки,172,,Россия,Москва,,Ашот Мндоянц
http://www.wikidata.org/entity/Q521935,сталинские высотки,176,,Россия,Москва,,Ашот Мндоянц
http://www.wikidata.org/entity/Q521935,сталинские высотки,172,,Россия,Москва,,"Посохин, Михаил Михайлович"
http://www.wikidata.org/entity/Q521935,сталинские высотки,176,,Россия,Москва,,"Посохин, Михаил Михайлович"
http://www.wikidata.org/entity/Q521935,сталинские высотки,172,,Россия,Москва,,"Хряков, Александр Фёдорович"
